ILI Tool,Adjstd Weld Number,Adjstd Approx Milepost,Adjstd Approx Map Station (ft),Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,0,0.000,0+20,-1.56,,1,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D3.10,,3.10,,D1.56,,1.56,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065655,777.86,,8.625,X52,Valve,1363
MFL,0,0.000,0+17,-1.13,,2,Flange,U0.43,0.43,2.67,,D1.13,,1.13,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065655,777.86,,8.625,X52,Valve,1363
MFL,0,,,0.00,,3,Valve Launcher - G-13 MOCO Lease,D1.54,1.56,1.54,,D5183.30,,5183.30,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065654,777.86,,8.625,X52,Valve,1363
MFL,0,0.000,0+19,1.09,,4,Flange,D0.46,2.65,0.46,,U1.09,1.09,5182.21,0.322,,,,,,3.10,,,,,,,,35.0877738,-119.4065613,777.81,,8.625,X52,Valve,1363
MFL,1,0.001,0+21,1.54,,5,Weld,D0.96,3.10,0.96,,U1.54,1.54,5181.76,0.322,,,,,,0.96,,,,,,,,35.0877736,-119.4065598,777.79,,8.625,X52,ERW,1363
MFL,1,,,2.04,,6,Tap,D0.47,0.50,0.47,0.13,U2.04,2.04,5181.26,0.322,,,,,20,0.96,,,,,,,,35.0877734,-119.4065581,777.76,,8.625,X52,ERW,1363
MFL,2,0.001,0+24,2.51,,7,Weld,U0.96,0.96,3.10,,U2.51,2.51,5180.80,0.322,,,,,,3.10,,,,,,,,35.0877734,-119.4065565,777.70,,8.625,X52,Elbow,1363
MFL,2,0.001,0+23,4.08,,8,Bend - 90° 3D Left Over Forged Bend,D1.53,1.57,1.53,,U4.08,4.08,5179.23,0.322,,,,,203,3.10,,,,,,,,35.0877752,-119.4065517,777.06,,8.625,X52,Elbow,1363
MFL,3,0.002,0+29,5.60,,9,Weld,U3.10,3.10,5.70,,U5.60,5.60,5177.70,0.322,,,,,,5.70,,,,,,,,35.0877787,-119.4065505,776.14,,8.625,X52,ERW,1363
MFL,4,0.002,0+29,11.31,,10,Weld,D0.59,5.70,0.59,,U11.31,11.31,5172.00,0.322,,,,,,0.59,,,,,,,,35.0877918,-119.4065490,772.71,,8.625,X52,Elbow,1363
MFL,4,0.002,0+29,11.61,,11,Bend - 15° 3D Sag Forged Bend,D0.29,0.30,0.29,,U11.61,11.61,5171.70,0.322,,,,,338,0.59,,,,,,,,35.0877925,-119.4065490,772.59,,8.625,X52,Elbow,1363
MFL,5,0.002,0+31,11.90,,12,Weld,U0.59,0.59,2.14,,U11.90,11.90,5171.41,0.322,,,,,,2.14,,,,,,,,35.0877932,-119.4065490,772.48,,8.625,X52,ERW,1363
MFL,6,0.003,0+32,14.04,,13,Weld,D1.22,2.14,1.22,,U14.04,14.04,5169.27,0.322,,,,,,1.22,,,,,,,,35.0877985,-119.4065486,771.68,,8.625,X52,Tee,1363
MFL,6,,,14.63,,14,Tee,U0.59,0.59,0.63,1.71,U14.63,14.63,5168.68,0.322,,,,,273,1.22,,,,,,,,35.0878000,-119.4065485,771.46,,8.625,X52,Tee,1363
MFL,7,0.003,0+33,15.26,,15,Weld,D1.13,1.22,1.13,,U15.26,15.26,5168.04,0.322,,,,,,1.13,,,,,,,,35.0878016,-119.4065484,771.24,,8.625,X52,ERW,1363
MFL,8,0.006,0+49,16.39,,16,Weld,U1.13,1.13,18.24,,U16.39,16.39,5166.92,0.322,,,,,,18.24,,,,,,,,35.0878044,-119.4065481,770.83,,8.625,X52,ERW,1363
MFL,9,0.006,0+49,34.62,,17,Weld,D0.23,18.24,0.23,,U34.62,34.62,5148.68,0.322,,,,,,0.23,,,,,,,,35.0878511,-119.4065445,764.18,,8.625,X52,Elbow,1363
MFL,9,0.006,0+49,34.75,,18,Bend - 17.7° 1.5D Sag Forged Bend,D0.10,0.13,0.10,,U34.75,34.75,5148.55,0.322,,,,,338,0.23,,,,,,,,35.0878513,-119.4065445,764.16,,8.625,X52,Elbow,1363
MFL,10,0.009,0+65,34.85,,19,Weld,U0.23,0.23,15.61,,U34.85,34.85,5148.45,0.322,,,,,,15.61,31,,,,,,,35.0878516,-119.4065444,764.14,,8.625,X52,ERW,1363
MFL,11,0.012,0+84,50.47,,20,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U15.61,15.61,19.32,,U50.47,50.47,5132.84,0.219,,,,,,19.32,54,,,,,,,35.0878932,-119.4065329,763.14,,8.625,X52,ERW,1363
MFL,11,,,51.31,,21,Tap,U0.85,0.85,18.47,2.23,U51.31,51.31,5131.99,0.219,,,,,356,19.32,,,,,,,,35.0878954,-119.4065322,763.11,,8.625,X52,ERW,1363
MFL,11,,,51.48,51.47,22,ML Int,U1.01,1.01,18.31,1.18,U51.48,51.48,5131.83,0.219,10,20,0.28,0.24,188,19.32,,2264,2261,2264,2260,3144,3139,35.0878959,-119.4065321,763.11,,8.625,X52,ERW,1363
MFL,11,,,51.60,51.58,23,ML Int,U1.13,1.13,18.19,1.15,U51.60,51.60,5131.70,0.219,11,21,0.27,0.23,183,19.32,,2264,2261,2263,2260,3144,3138,35.0878962,-119.4065320,763.10,,8.625,X52,ERW,1363
MFL,11,,,52.15,52.14,24,ML Int Cluster,U1.68,1.68,17.64,1.09,U52.15,52.15,5131.16,0.219,20,30,0.55,0.48,174,19.32,,2246,2231,2252,2240,3128,3111,35.0878976,-119.4065316,763.08,,8.625,X52,ERW,1363
MFL,11,,,53.66,53.64,25,ML Int,U3.19,3.19,16.13,1.17,U53.66,53.66,5129.65,0.219,12,22,0.27,0.27,186,19.32,,2264,2261,2263,2259,3143,3138,35.0879016,-119.4065304,763.04,,8.625,X52,ERW,1363
MFL,12,0.018,1+23,69.78,,26,Weld,U19.32,19.32,38.16,,U69.78,69.78,5113.52,0.219,,,,,,38.16,20,,,,,,,35.0879444,-119.4065176,762.71,,8.625,X52,ERW,1363
MFL,13,0.029,1+86,107.94,,27,Weld,U38.16,38.16,62.98,,U107.94,107.94,5075.36,0.219,,,,,,62.98,241,,,,,,,35.0880456,-119.4064865,762.02,,8.625,X52,ERW,1363
MFL,13,,,162.31,,28,MCP,D8.61,54.37,8.61,0.38,U162.31,162.31,5020.99,0.219,,,1.34,2.91,61,62.98,,,,,,,,35.0881866,-119.4064304,759.62,,8.625,X52,ERW,1363
MFL,14,0.030,1+89,170.92,,29,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D3.22,62.98,3.22,,U170.92,170.92,5012.38,0.322,,,,,,3.22,,,,,,,,35.0882087,-119.4064200,759.33,,8.625,X52,Elbow,1363
MFL,14,0.029,1+87,172.58,,30,Bend - 90° 3D Right Forged Bend,D1.57,1.65,1.57,,U172.58,172.58,5010.73,0.322,,,,,68,3.22,,,,,,,,35.0882110,-119.4064156,759.26,,8.625,X52,Elbow,1363
MFL,15,0.031,1+95,174.15,,31,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U3.22,3.22,5.76,,U174.15,174.15,5009.16,0.219,,,,,,5.76,,,,,,,,35.0882104,-119.4064104,759.19,,8.625,X52,ERW,1363
MFL,15,,,174.46,174.45,32,ML Int,U0.32,0.32,5.44,1.04,U174.46,174.46,5008.84,0.219,12,22,0.28,0.28,166,5.76,,2264,2261,2263,2259,3143,3138,35.0882101,-119.4064096,759.18,,8.625,X52,ERW,1363
MFL,15,,,174.59,174.58,33,ML Int,U0.45,0.45,5.31,1.07,U174.59,174.59,5008.71,0.219,15,25,0.28,0.32,170,5.76,,2263,2259,2262,2258,3142,3136,35.0882099,-119.4064091,759.18,,8.625,X52,ERW,1363
MFL,15,,,174.71,174.70,34,ML Int,U0.56,0.56,5.20,1.05,U174.71,174.71,5008.59,0.219,10,20,0.28,0.28,168,5.76,,2264,2261,2264,2260,3144,3139,35.0882099,-119.4064088,759.17,,8.625,X52,ERW,1363
MFL,15,,,175.73,175.66,35,ML Int Cluster,U1.58,1.58,4.18,1.04,U175.73,175.73,5007.58,0.219,26,36,0.90,0.54,166,5.76,,2197,2159,2219,2191,3082,3044,35.0882089,-119.4064058,759.14,,8.625,X52,ERW,1363
MFL,15,,,177.64,177.62,36,ML Int,D2.26,3.50,2.26,1.08,U177.64,177.64,5005.66,0.219,10,20,0.28,0.28,172,5.76,,2264,2261,2264,2260,3144,3139,35.0882069,-119.4063997,759.07,,8.625,X52,ERW,1363
MFL,15,,,177.75,177.74,37,ML Int,D2.16,3.61,2.16,1.02,U177.75,177.75,5005.55,0.219,10,20,0.27,0.27,162,5.76,,2264,2261,2264,2260,3144,3139,35.0882068,-119.4063994,759.07,,8.625,X52,ERW,1363
MFL,16,0.042,2+52,179.91,,38,Weld,U5.76,5.76,58.09,,U179.91,179.91,5003.40,0.219,,,,,,58.09,295,,,,,,,35.0882046,-119.4063926,758.99,,8.625,X52,ERW,1363
MFL,16,,,184.04,184.03,39,ML Int Cluster,U4.13,4.13,53.96,1.37,U184.04,184.04,4999.27,0.219,23,33,1.80,0.34,218,58.09,,2110,2026,2208,2171,3066,3015,35.0882005,-119.4063800,758.84,,8.625,X52,ERW,1363
MFL,16,,,184.68,184.66,40,ML Int Cluster,U4.77,4.77,53.32,1.10,U184.68,184.68,4998.63,0.219,15,25,0.67,0.68,175,58.09,,2245,2227,2249,2232,3124,3100,35.0881999,-119.4063780,758.82,,8.625,X52,ERW,1363
MFL,16,,,191.71,191.70,41,ML Int,U11.81,11.81,46.29,1.18,U191.71,191.71,4991.59,0.219,11,21,0.27,0.27,188,58.09,,2264,2261,2264,2260,3144,3138,35.0881927,-119.4063561,758.57,,8.625,X52,ERW,1363
MFL,16,,,191.93,191.91,42,ML Int,U12.02,12.02,46.07,1.24,U191.93,191.93,4991.38,0.219,10,20,0.28,0.28,197,58.09,,2264,2261,2264,2260,3144,3139,35.0881926,-119.4063555,758.57,,8.625,X52,ERW,1363
MFL,16,,,192.02,192.00,43,ML Int,U12.11,12.11,45.98,1.02,U192.02,192.02,4991.29,0.219,12,22,0.24,0.22,162,58.09,,2265,2262,2264,2261,3145,3140,35.0881925,-119.4063552,758.56,,8.625,X52,ERW,1363
MFL,16,,,192.09,192.06,44,ML Int,U12.19,12.19,45.90,1.26,U192.09,192.09,4991.21,0.219,11,21,0.51,0.51,201,58.09,,2258,2247,2256,2243,3133,3115,35.0881924,-119.4063550,758.56,,8.625,X52,ERW,1363
MFL,17,0.054,3+15,238.00,,45,Weld,U58.09,58.09,63.06,,U238.00,238.00,4945.30,0.219,,,,,,63.06,220,,,,,,,35.0881467,-119.4062128,756.67,,8.625,X52,ERW,1363
MFL,17,,,240.94,,46,MCP,U2.94,2.94,60.12,1.10,U240.94,240.94,4942.36,0.219,,,1.10,1.39,175,63.06,,,,,,,,35.0881439,-119.4062034,756.51,,8.625,X52,ERW,1363
MFL,18,0.066,3+78,301.06,,47,Weld,D63.00,63.06,63.00,,U301.06,301.06,4882.24,0.219,,,,,,63.00,354,,,,,,,35.0880930,-119.4060138,753.51,,8.625,X52,ERW,1363
MFL,18,,,363.72,363.71,48,ML Int,D0.34,62.66,0.34,0.94,U363.72,363.72,4819.58,0.219,10,20,0.28,0.24,150,63.00,,2264,2261,2264,2260,3144,3139,35.0880518,-119.4058114,751.09,,8.625,X52,ERW,1363
MFL,19,0.077,4+41,364.06,,49,Weld,U63.00,63.00,63.04,,U364.06,364.06,4819.24,0.219,,,,,,63.04,275,,,,,,,35.0880515,-119.4058102,751.09,,8.625,X52,ERW,1363
MFL,19,,,389.13,,50,"Sleeve B, Start",U25.07,25.07,37.98,,U389.13,389.13,4794.18,0.219,,,,,,63.04,,,,,,,,35.0880359,-119.4057295,750.72,,8.625,X52,ERW,1363
MFL,19,,,394.21,,51,"Sleeve B, End",U30.15,30.15,32.89,,U394.21,394.21,4789.09,0.219,,,,,,63.04,,,,,,,,35.0880324,-119.4057128,750.56,,8.625,X52,ERW,1363
MFL,19,,,395.77,395.75,52,ML EXT,D31.33,31.71,31.33,2.06,U395.77,395.77,4787.53,0.219,11,21,0.31,0.47,329,63.04,,2263,2259,2262,2257,3142,3135,35.0880314,-119.4057079,750.51,,8.625,X52,ERW,1363
MFL,19,,,396.25,,53,"Sleeve B, Start",D30.85,32.19,30.85,,U396.25,396.25,4787.05,0.219,,,,,,63.04,,,,,,,,35.0880311,-119.4057064,750.49,,8.625,X52,ERW,1363
MFL,19,,,400.49,,54,"Sleeve B, End",D26.61,36.43,26.61,,U400.49,400.49,4782.81,0.219,,,,,,63.04,,,,,,,,35.0880283,-119.4056927,750.34,,8.625,X52,ERW,1363
MFL,19,,,403.47,403.44,55,ML EXT,D23.64,39.41,23.64,0.13,U403.47,403.47,4779.84,0.219,15,25,0.43,0.43,21,63.04,,2257,2249,2255,2245,3132,3118,35.0880262,-119.4056832,750.17,,8.625,X52,ERW,1363
MFL,19,,,403.77,403.76,56,ML EXT Cluster,D23.33,39.71,23.33,0.33,U403.77,403.77,4779.53,0.219,12,22,2.63,5.53,52,63.04,,2158,2056,2160,2057,3001,2857,35.0880260,-119.4056822,750.15,,8.625,X52,ERW,1363
MFL,19,,,406.88,406.87,57,ML EXT,D20.22,42.82,20.22,0.09,U406.88,406.88,4776.42,0.219,13,23,0.98,0.46,15,63.04,,2231,2198,2224,2182,3089,3031,35.0880237,-119.4056721,749.96,,8.625,X52,ERW,1363
MFL,19,,,408.79,408.78,58,ML EXT,D18.32,44.73,18.32,0.02,U408.79,408.79,4774.52,0.219,12,22,0.24,0.30,3,63.04,,2265,2262,2264,2261,3145,3140,35.0880224,-119.4056661,749.84,,8.625,X52,ERW,1363
MFL,19,,,412.91,412.90,59,ML EXT,D14.19,48.85,14.19,1.08,U412.91,412.91,4770.39,0.219,21,31,0.24,0.40,172,63.04,,2262,2260,2261,2258,3141,3136,35.0880192,-119.4056529,749.47,,8.625,X52,ERW,1363
MFL,20,0.082,4+64,427.10,,60,Weld,D22.72,63.04,22.72,,U427.10,427.10,4756.20,0.219,,,,,,22.72,97,,,,,,,35.0880081,-119.4056076,748.16,,8.625,X52,ERW,1363
MFL,20,,,443.62,443.59,61,ML EXT,D6.20,16.52,6.20,2.03,U443.62,443.62,4739.68,0.219,11,21,0.55,0.55,324,22.72,,2256,2244,2254,2239,3130,3110,35.0879943,-119.4055556,747.07,,8.625,X52,ERW,1363
MFL,20,,,446.94,446.92,62,ML EXT,D2.88,19.84,2.88,2.23,U446.94,446.94,4736.36,0.219,10,20,0.47,0.47,356,22.72,,2260,2251,2258,2247,3136,3121,35.0879915,-119.4055451,746.95,,8.625,X52,ERW,1363
MFL,20,,,447.34,447.32,63,ML EXT,D2.49,20.23,2.49,0.02,U447.34,447.34,4735.97,0.219,11,21,0.63,0.63,3,22.72,,2253,2238,2250,2232,3126,3100,35.0879912,-119.4055438,746.95,,8.625,X52,ERW,1363
MFL,20,,,448.66,448.64,64,ML EXT,D1.17,21.56,1.17,0.06,U448.66,448.66,4734.65,0.219,12,22,0.51,0.51,10,22.72,,2256,2246,2254,2241,3131,3113,35.0879900,-119.4055396,746.92,,8.625,X52,ERW,1363
MFL,20,,,448.75,448.59,65,ML EXT Cluster,D1.08,21.65,1.08,0.26,U448.75,448.75,4734.55,0.219,21,31,3.81,2.02,42,22.72,,2014,1878,2156,2079,2994,2887,35.0879900,-119.4055394,746.92,,8.625,X52,ERW,1363
MFL,20,,,448.82,448.80,66,ML EXT,D1.01,21.72,1.01,2.06,U448.82,448.82,4734.49,0.219,11,21,0.28,0.28,328,22.72,,2264,2261,2263,2260,3144,3138,35.0879899,-119.4055391,746.91,,8.625,X52,ERW,1363
MFL,20,,,449.01,449.00,67,ML EXT,D0.81,21.91,0.81,2.05,U449.01,449.01,4734.29,0.219,11,21,0.47,0.47,327,22.72,,2259,2250,2257,2246,3135,3120,35.0879898,-119.4055386,746.91,,8.625,X52,ERW,1363
MFL,20,,,449.26,449.22,68,ML EXT,D0.57,22.15,0.57,2.02,U449.26,449.26,4734.05,0.219,11,21,0.90,0.90,322,22.72,,2241,2213,2236,2201,3105,3057,35.0879896,-119.4055378,746.91,,8.625,X52,ERW,1363
MFL,20,,,449.32,449.03,69,ML EXT Cluster,D0.51,22.21,0.51,0.35,U449.32,449.32,4733.99,0.219,16,26,3.69,3.14,56,22.72,,2081,1952,2139,2027,2970,2816,35.0879895,-119.4055376,746.89,,8.625,X52,ERW,1363
MFL,20,,,449.36,449.33,70,ML EXT,D0.47,22.26,0.47,0.02,U449.36,449.36,4733.94,0.219,10,20,0.75,0.75,3,22.72,,2250,2230,2247,2222,3120,3086,35.0879895,-119.4055375,746.88,,8.625,X52,ERW,1363
MFL,21,0.082,4+64,449.83,,71,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.89,22.72,0.89,,U449.83,449.83,4733.48,0.322,,,,,,0.89,,,,,,,,35.0879891,-119.4055361,746.77,,8.625,X52,Elbow,1363
MFL,21,0.082,4+64,450.29,,72,Bend - 45° 1.5D Over Forged Bend,D0.42,0.47,0.42,,U450.29,450.29,4733.01,0.322,,,,,158,0.89,,,,,,,,35.0879886,-119.4055348,746.50,,8.625,X52,Elbow,1363
MFL,22,0.084,4+73,450.71,,73,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.89,0.89,8.55,,U450.71,450.71,4732.59,0.219,,,,,,8.55,,,,,,,,35.0879883,-119.4055338,746.22,,8.625,X52,ERW,1363
MFL,22,,,451.29,451.22,74,ML EXT,U0.58,0.58,7.97,1.07,U451.29,451.29,4732.02,0.219,11,21,1.10,1.10,171,8.55,,2231,2193,2224,2177,3089,3024,35.0879879,-119.4055327,745.84,,8.625,X52,ERW,1363
MFL,22,,,451.43,451.42,75,ML EXT,U0.72,0.72,7.83,1.29,U451.43,451.43,4731.87,0.219,12,22,0.24,0.20,205,8.55,,2265,2262,2264,2261,3145,3140,35.0879878,-119.4055324,745.74,,8.625,X52,ERW,1363
MFL,22,,,451.51,451.49,76,ML Int,U0.80,0.80,7.74,1.43,U451.51,451.51,4731.79,0.219,10,20,0.28,0.28,228,8.55,,2264,2261,2264,2260,3144,3139,35.0879877,-119.4055323,745.71,,8.625,X52,ERW,1363
MFL,22,,,452.20,452.16,77,ML EXT Cluster,U1.49,1.49,7.06,0.78,U452.20,452.20,4731.10,0.219,12,22,1.14,0.71,124,8.55,,2226,2185,2230,2191,3098,3044,35.0879873,-119.4055311,745.30,,8.625,X52,ERW,1363
MFL,22,,,452.36,452.33,78,ML EXT,U1.65,1.65,6.90,2.20,U452.36,452.36,4730.94,0.219,10,20,0.47,0.47,351,8.55,,2260,2251,2258,2247,3136,3121,35.0879872,-119.4055309,745.22,,8.625,X52,ERW,1363
MFL,22,,,452.48,452.47,79,ML EXT,U1.77,1.77,6.77,1.27,U452.48,452.48,4730.82,0.219,18,28,0.27,0.27,203,8.55,,2262,2258,2261,2256,3140,3134,35.0879870,-119.4055304,745.06,,8.625,X52,ERW,1363
MFL,22,,,453.63,453.62,80,ML Int,U2.91,2.91,5.63,1.24,U453.63,453.63,4729.68,0.219,10,20,0.28,0.28,197,8.55,,2264,2261,2264,2260,3144,3139,35.0879861,-119.4055279,744.21,,8.625,X52,ERW,1363
MFL,22,,,454.45,454.44,81,ML Int Cluster,U3.74,3.74,4.81,0.80,U454.45,454.45,4728.86,0.219,11,21,0.67,0.65,128,8.55,,2251,2235,2255,2241,3132,3113,35.0879855,-119.4055261,743.60,,8.625,X52,ERW,1363
MFL,22,,,454.98,454.97,82,ML Int,U4.27,4.27,4.28,0.29,U454.98,454.98,4728.32,0.219,11,21,0.28,0.28,46,8.55,,2264,2261,2263,2260,3144,3138,35.0879851,-119.4055250,743.22,,8.625,X52,ERW,1363
MFL,22,,,457.85,457.83,83,ML Int,D1.41,7.14,1.41,0.61,U457.85,457.85,4725.45,0.219,10,20,0.28,0.28,97,8.55,,2264,2261,2264,2260,3144,3139,35.0879828,-119.4055188,741.12,,8.625,X52,ERW,1363
MFL,22,,,457.87,457.82,84,ML Int Cluster,D1.39,7.16,1.39,1.80,U457.87,457.87,4725.43,0.219,12,22,0.75,0.28,287,8.55,,2246,2225,2251,2234,3126,3102,35.0879828,-119.4055187,741.11,,8.625,X52,ERW,1363
MFL,22,,,458.23,458.16,85,ML Int Cluster,D1.03,7.52,1.03,0.73,U458.23,458.23,4725.07,0.219,11,21,0.90,0.28,116,8.55,,2241,2213,2250,2231,3124,3099,35.0879825,-119.4055180,740.85,,8.625,X52,ERW,1363
MFL,22,,,458.73,458.72,86,ML Int,D0.52,8.02,0.52,1.98,U458.73,458.73,4724.57,0.219,10,20,0.47,0.47,315,8.55,,2260,2251,2258,2247,3136,3121,35.0879822,-119.4055169,740.49,,8.625,X52,ERW,1363
MFL,22,,,458.90,458.89,87,ML Int,D0.35,8.19,0.35,2.25,U458.90,458.90,4724.40,0.219,10,20,0.27,0.27,358,8.55,,2264,2261,2264,2260,3144,3139,35.0879820,-119.4055163,740.38,,8.625,X52,ERW,1363
MFL,22,,,459.04,459.03,88,ML Int HAZ impact GW,D0.22,8.33,0.22,1.98,U459.04,459.04,4724.26,0.219,11,21,0.27,0.27,315,8.55,,2264,2261,2264,2260,3144,3138,35.0879819,-119.4055160,740.32,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,23,0.084,4+74,459.26,,89,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.87,8.55,0.87,,U459.26,459.26,4724.05,0.322,,,,,,0.87,,,,,,,,35.0879817,-119.4055154,740.20,,8.625,X52,Elbow,1363
MFL,23,0.084,4+73,459.73,,90,Bend - 45° 1.5D Sag Forged Bend,D0.40,0.47,0.40,,U459.73,459.73,4723.57,0.322,,,,,338,0.87,,,,,,,,35.0879813,-119.4055140,740.11,,8.625,X52,Elbow,1363
MFL,24,0.089,5+03,460.13,,91,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.87,0.87,29.85,,U460.13,460.13,4723.17,0.219,,,,,,29.85,300,,,,,,,35.0879810,-119.4055127,740.03,,8.625,X52,ERW,1363
MFL,24,,,460.75,460.66,92,ML EXT Cluster,U0.62,0.62,29.23,0.87,U460.75,460.75,4722.55,0.219,25,35,1.33,2.47,138,29.85,,2148,2085,2194,2139,3047,2971,35.0879805,-119.4055108,740.02,,8.625,X52,ERW,1363
MFL,24,,,469.10,469.07,93,ML Int,U8.97,8.97,20.88,1.20,U469.10,469.10,4714.21,0.219,12,22,0.51,0.51,191,29.85,,2257,2246,2254,2241,3131,3113,35.0879745,-119.4054849,739.92,,8.625,X52,ERW,1363
MFL,24,,,469.75,469.73,94,ML Int,U9.62,9.62,20.23,1.04,U469.75,469.75,4713.55,0.219,11,21,0.28,0.28,166,29.85,,2264,2261,2263,2260,3144,3138,35.0879740,-119.4054828,739.91,,8.625,X52,ERW,1363
MFL,24,,,470.13,470.11,95,ML Int,U9.99,9.99,19.86,0.95,U470.13,470.13,4713.18,0.219,11,21,0.27,0.27,151,29.85,,2264,2261,2264,2260,3144,3138,35.0879737,-119.4054816,739.91,,8.625,X52,ERW,1363
MFL,24,,,470.27,470.26,96,ML Int,U10.14,10.14,19.71,0.93,U470.27,470.27,4713.03,0.219,10,20,0.28,0.28,149,29.85,,2264,2261,2264,2260,3144,3139,35.0879736,-119.4054811,739.90,,8.625,X52,ERW,1363
MFL,24,,,470.63,470.61,97,ML Int,U10.49,10.49,19.36,1.32,U470.63,470.63,4712.68,0.219,10,20,0.28,0.28,211,29.85,,2264,2261,2264,2260,3144,3139,35.0879734,-119.4054801,739.90,,8.625,X52,ERW,1363
MFL,24,,,470.66,470.64,98,ML Int,U10.53,10.53,19.32,0.95,U470.66,470.66,4712.65,0.219,12,22,0.27,0.27,151,29.85,,2264,2261,2263,2259,3143,3138,35.0879734,-119.4054800,739.90,,8.625,X52,ERW,1363
MFL,24,,,471.94,471.66,99,ML Int Cluster,U11.81,11.81,18.04,1.10,U471.94,471.94,4711.36,0.219,30,40,4.04,2.25,175,29.85,,1882,1733,2094,2000,2909,2778,35.0879724,-119.4054758,739.88,,8.625,X52,ERW,1363
MFL,24,,,472.23,472.22,100,ML Int,U12.09,12.09,17.76,0.97,U472.23,472.23,4711.08,0.219,10,20,0.28,0.28,155,29.85,,2264,2261,2264,2260,3144,3139,35.0879721,-119.4054748,739.88,,8.625,X52,ERW,1363
MFL,24,,,472.57,472.56,101,ML Int,U12.44,12.44,17.41,1.03,U472.57,472.57,4710.73,0.219,10,20,0.28,0.28,164,29.85,,2264,2261,2264,2260,3144,3139,35.0879719,-119.4054737,739.88,,8.625,X52,ERW,1363
MFL,24,,,472.85,472.82,102,ML EXT HAZ impact LS,U12.72,12.72,17.13,1.97,U472.85,472.85,4710.45,0.219,11,21,0.43,0.43,314,29.85,,2260,2252,2259,2249,3137,3124,35.0879717,-119.4054729,739.87,,8.625,X52,ERW,1363
MFL,24,,,473.63,473.59,103,ML Int Cluster,U13.50,13.50,16.35,1.13,U473.63,473.63,4709.67,0.219,13,23,1.26,1.29,180,29.85,,2215,2167,2223,2179,3088,3026,35.0879711,-119.4054702,739.86,,8.625,X52,ERW,1363
MFL,24,,,473.81,473.79,104,ML Int Cluster,U13.68,13.68,16.17,1.09,U473.81,473.81,4709.49,0.219,10,20,0.90,1.35,174,29.85,,2243,2216,2247,2223,3120,3088,35.0879709,-119.4054695,739.86,,8.625,X52,ERW,1363
MFL,24,,,473.98,473.96,105,ML Int,U13.85,13.85,16.00,1.00,U473.98,473.98,4709.32,0.219,10,20,0.63,0.63,159,29.85,,2254,2240,2252,2234,3128,3102,35.0879708,-119.4054689,739.86,,8.625,X52,ERW,1363
MFL,24,,,474.38,474.37,106,ML Int,U14.25,14.25,15.60,1.17,U474.38,474.38,4708.92,0.219,10,20,0.28,0.28,187,29.85,,2264,2261,2264,2260,3144,3139,35.0879705,-119.4054676,739.85,,8.625,X52,ERW,1363
MFL,24,,,475.02,475.01,107,ML Int,U14.89,14.89,14.96,1.10,U475.02,475.02,4708.28,0.219,10,20,0.28,0.28,176,29.85,,2264,2261,2264,2260,3144,3139,35.0879700,-119.4054655,739.84,,8.625,X52,ERW,1363
MFL,24,,,475.27,475.26,108,ML Int,D14.71,15.14,14.71,1.02,U475.27,475.27,4708.03,0.219,17,27,0.28,0.28,162,29.85,,2262,2259,2261,2257,3141,3134,35.0879698,-119.4054647,739.84,,8.625,X52,ERW,1363
MFL,24,,,475.57,475.45,109,ML Int Cluster,D14.42,15.44,14.42,1.10,U475.57,475.57,4707.74,0.219,29,39,1.45,1.23,176,29.85,,2107,2033,2196,2143,3050,2976,35.0879696,-119.4054638,739.84,,8.625,X52,ERW,1363
MFL,24,,,475.77,475.67,110,ML Int Cluster,D14.21,15.64,14.21,1.14,U475.77,475.77,4707.53,0.219,16,26,1.45,0.49,181,29.85,,2187,2127,2223,2193,3088,3046,35.0879694,-119.4054631,739.83,,8.625,X52,ERW,1363
