ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Adjstd Map Sta (ft) (CDS),Odometer (ft),Odometer Distance to Peak Depth (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Length (in),Width (in),Oreintation (Degrees),Oreintation Peak Depth (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Max Depth + Tolerance (%),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,10,0.000,-0+02,-1.54,,1,"Weld; Begin 0.322in Wall, API 5L X52- ERW",,,3.07,,,1.54,0.322,,,,,,3.07,,,,,,,,,35.0877746,-119.4065704,777.88,,8.625,X52,Valve,1363
MFL,10,0.000,-0+01,-1.12,,2,Flange,U0.42,0.42,2.65,,,1.12,0.322,,,,,,3.07,,,,,,,,,35.0877745,-119.4065690,777.87,,8.625,X52,Valve,1363
MFL,10,0.000,0+00,0.00,,3,Valve Launcher - G-13 MOCO Lease,D1.53,1.54,1.53,U0.00,0.00,5193.01,0.322,,,,,,3.07,,,,,,,,,35.0877742,-119.4065653,777.86,,8.625,X52,Valve,1363
MFL,10,0.000,0+01,1.08,,4,Flange,D0.45,2.62,0.45,U1.08,1.08,5191.93,0.322,,,,,,3.07,,,,,,,,,35.0877740,-119.4065618,777.84,,8.625,X52,Valve,1363
MFL,20,0.000,0+02,1.53,,5,Weld,D0.96,3.07,0.96,U1.53,1.53,5191.48,0.322,,,,,,0.96,,,,,,,,,35.0877739,-119.4065603,777.83,,8.625,X52,ERW,1363
MFL,20,0.000,0+02,2.02,,6,Tap,D0.47,0.49,0.47,U2.02,2.02,5190.99,0.322,,,,353,,0.96,,,,,,,,,35.0877738,-119.4065586,777.82,,8.625,X52,ERW,1363
MFL,30,0.000,0+02,2.49,,7,Weld,U0.96,0.96,3.01,U2.49,2.49,5190.52,0.322,,,,,,3.01,,,,,,,,,35.0877737,-119.4065571,777.81,,8.625,X52,Elbow,1363
MFL,30,0.001,0+04,4.00,,8,Bend - 90° 3D Left Over Forged Bend,U1.50,1.50,1.51,U4.00,4.00,5189.02,0.322,,,,225,,3.01,,,,,,,,,35.0877749,-119.4065527,777.41,,8.625,X52,Elbow,1363
MFL,40,0.001,0+05,5.51,,9,Weld,U3.01,3.01,5.74,U5.51,5.51,5187.51,0.322,,,,,,5.74,,,,,,,,,35.0877779,-119.4065511,776.53,,8.625,X52,ERW,1363
MFL,50,0.002,0+11,11.25,,10,Weld,D0.50,5.74,0.50,U11.25,11.25,5181.77,0.322,,,,,,0.50,,,,,,,,,35.0877904,-119.4065498,773.06,,8.625,X52,Elbow,1363
MFL,50,0.002,0+11,11.49,,11,Bend - 15° 3D Sag Forged Bend,U0.24,0.24,0.26,U11.49,11.49,5181.52,0.322,,,,0,,0.50,,,,,,,,,35.0877910,-119.4065498,772.95,,8.625,X52,Elbow,1363
MFL,60,0.002,0+12,11.75,,12,Weld,U0.50,0.50,2.22,U11.75,11.75,5181.27,0.322,,,,,,2.22,,,,,,,,,35.0877916,-119.4065497,772.84,,8.625,X52,ERW,1363
MFL,70,0.003,0+14,13.97,,13,Weld,D1.15,2.22,1.15,U13.97,13.97,5179.05,0.322,,,,,,1.15,,,,,,,,,35.0877972,-119.4065491,771.96,,8.625,X52,Tee,1363
MFL,70,0.003,0+14,14.51,,14,Tee,U0.55,0.55,0.60,U14.51,14.51,5178.50,0.322,,,,255,,1.15,,,,,,,,,35.0877986,-119.4065490,771.76,,8.625,X52,Tee,1363
MFL,80,0.003,0+15,15.11,,15,Weld,D1.14,1.15,1.14,U15.11,15.11,5177.90,0.322,,,,,,1.14,,,,,,,,,35.0878001,-119.4065488,771.53,,8.625,X52,ERW,1363
MFL,90,0.003,0+16,16.25,,16,Weld,U1.14,1.14,18.23,U16.25,16.25,5176.76,0.322,,,,,,18.23,,,,,,,,,35.0878030,-119.4065485,771.09,,8.625,X52,ERW,1363
MFL,100,0.006,0+34,34.48,,17,Weld,D0.29,18.23,0.29,U34.48,34.48,5158.54,0.322,,,,,,0.29,,,,,,,,,35.0878490,-119.4065436,764.17,,8.625,X52,Elbow,1363
MFL,100,0.006,0+34,34.64,,18,Bend - 17.7° 1.5D Sag Forged Bend,D0.13,0.16,0.13,U34.64,34.64,5158.38,0.322,,,,0,,0.29,,,,,,,,,35.0878494,-119.4065435,764.14,,8.625,X52,Elbow,1363
MFL,110,0.007,0+35,34.77,,19,Weld,U0.29,0.29,15.60,U34.77,34.77,5158.25,0.322,,,,,,15.60,,,,,,,,,35.0878498,-119.4065434,764.12,,8.625,X52,ERW,1363
MFL,120,0.009,0+50,50.37,,20,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U15.60,15.60,19.41,U50.37,50.37,5142.65,0.219,,,,,,19.41,,,,,,,,,35.0878909,-119.4065306,762.96,,8.625,X52,ERW,1363
MFL,120,0.010,0+51,51.23,,21,Tap,U0.86,0.86,18.55,U51.23,51.23,5141.79,0.219,,,,339,,19.41,,,,,,,,,35.0878932,-119.4065299,762.93,,8.625,X52,ERW,1363
MFL,120,0.010,0+51,51.38,51.39,22,ML Int ,U1.01,1.01,18.40,U51.38,51.38,5141.63,0.219,11,0.23,0.38,169,170,19.41,,2265,2264,3145,21,2263,2262,3141,35.0878936,-119.4065298,762.93,,8.625,X52,ERW,1363
MFL,120,0.010,0+51,51.50,51.52,23,ML Int Cluster,U1.13,1.13,18.28,U51.50,51.50,5141.52,0.219,12,0.31,0.54,164,167,19.41,,2263,2262,3142,22,2259,2257,3135,35.0878939,-119.4065297,762.92,,8.625,X52,ERW,1363
MFL,120,0.010,0+52,52.06,52.09,24,ML Int Cluster,U1.69,1.69,17.72,U52.06,52.06,5140.95,0.219,17,0.51,0.51,154,159,19.41,,2252,2254,3131,27,2240,2244,3117,35.0878954,-119.4065292,762.91,,8.625,X52,ERW,1363
MFL,120,0.010,0+53,53.56,53.57,25,ML Int ,U3.19,3.19,16.21,U53.56,53.56,5139.45,0.219,10,0.23,0.21,168,168,19.41,,2265,2265,3145,20,2263,2262,3141,35.0878993,-119.4065279,762.88,,8.625,X52,ERW,1363
MFL,130,0.013,0+69,69.78,,26,Weld,U19.41,19.41,38.34,U69.78,69.78,5123.24,0.219,,,,,,38.34,,,,,,,,,35.0879420,-119.4065137,762.63,,8.625,X52,ERW,1363
MFL,140,0.020,1+08,108.12,,27,Weld,U38.34,38.34,63.34,U108.12,108.12,5084.89,0.219,,,,,,63.34,66,,,,,,,,35.0880428,-119.4064795,762.09,,8.625,X52,ERW,1363
MFL,140,0.031,1+62,162.82,,28,MCP,D8.65,54.70,8.65,U162.82,162.82,5030.20,0.219,,1.57,2.36,46,,63.34,,,,,,,,,35.0881833,-119.4064190,759.94,,8.625,X52,ERW,1363
MFL,150,0.032,1+71,171.46,,29,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D3.08,63.34,3.08,U171.46,171.46,5021.55,0.322,,,,,,3.08,,,,,,,,,35.0882052,-119.4064083,759.73,,8.625,X52,Elbow,1363
MFL,150,0.033,1+72,173.07,,30,Bend - 90° 3D Right Forged Bend,D1.48,1.61,1.48,U173.07,173.07,5019.95,0.322,,,,90,,3.08,,,,,,,,,35.0882079,-119.4064043,759.67,,8.625,X52,Elbow,1363
MFL,160,0.033,1+74,174.55,,31,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U3.08,3.08,5.69,U174.55,174.55,5018.47,0.219,,,,,,5.69,,,,,,,,,35.0882075,-119.4063995,759.60,,8.625,X52,ERW,1363
MFL,160,0.033,1+74,174.85,174.86,32,ML Int ,U0.31,0.31,5.39,U174.85,174.85,5018.16,0.219,15,0.16,0.32,150,152,5.69,,2266,2265,3146,25,2264,2264,3144,35.0882072,-119.4063986,759.59,,8.625,X52,ERW,1363
MFL,160,0.033,1+74,174.97,175.08,33,ML Int Cluster,U0.42,0.42,5.27,U174.97,174.97,5018.05,0.219,18,1.37,0.80,146,134,5.69,,2182,2243,3115,28,2125,2227,3094,35.0882071,-119.4063982,759.59,,8.625,X52,ERW,1363
MFL,160,0.033,1+75,175.99,176.05,34,ML Int Cluster,U1.44,1.44,4.25,U175.99,175.99,5017.03,0.219,20,0.86,0.48,144,145,5.69,,2220,2232,3100,30,2189,2210,3070,35.0882060,-119.4063951,759.55,,8.625,X52,ERW,1363
MFL,160,0.034,1+77,177.97,177.98,35,ML Int ,D2.27,3.42,2.27,U177.97,177.97,5015.05,0.219,11,0.23,0.32,152,152,5.69,,2265,2264,3145,21,2262,2262,3141,35.0882040,-119.4063890,759.49,,8.625,X52,ERW,1363
MFL,160,0.034,1+77,178.08,178.09,36,ML Int ,D2.16,3.53,2.16,U178.08,178.08,5014.94,0.219,10,0.23,0.38,140,142,5.69,,2265,2265,3145,20,2263,2262,3141,35.0882039,-119.4063887,759.48,,8.625,X52,ERW,1363
MFL,170,0.034,1+79,180.24,,37,Weld,U5.69,5.69,58.33,U180.24,180.24,5012.78,0.219,,,,,,58.33,298,,,,,,,,35.0882016,-119.4063821,759.43,,8.625,X52,ERW,1363
MFL,170,0.035,1+83,184.36,184.50,38,ML Int Cluster,U4.13,4.13,54.21,U184.36,184.36,5008.65,0.219,24,1.80,0.59,198,203,58.33,,2103,2206,3063,34,2017,2169,3012,35.0881971,-119.4063695,759.33,,8.625,X52,ERW,1363
MFL,170,0.035,1+84,185.01,185.02,39,ML Int Cluster,U4.77,4.77,53.56,U185.01,185.01,5008.01,0.219,19,0.55,0.59,157,158,58.33,,2247,2249,3123,29,2233,2232,3101,35.0881964,-119.4063675,759.31,,8.625,X52,ERW,1363
MFL,170,0.036,1+91,192.06,192.07,40,ML Int ,U11.83,11.83,46.51,U192.06,192.06,5000.95,0.219,10,0.23,0.38,168,170,58.33,,2265,2265,3145,20,2263,2262,3141,35.0881889,-119.4063460,759.13,,8.625,X52,ERW,1363
MFL,170,0.036,1+91,192.28,192.29,41,ML Int ,U12.05,12.05,46.29,U192.28,192.28,5000.73,0.219,11,0.20,0.21,181,182,58.33,,2265,2265,3146,21,2264,2263,3143,35.0881886,-119.4063453,759.13,,8.625,X52,ERW,1363
MFL,170,0.036,1+91,192.38,192.39,42,ML Int ,U12.14,12.14,46.19,U192.38,192.38,5000.64,0.219,14,0.16,0.27,145,146,58.33,,2266,2265,3146,24,2265,2264,3145,35.0881885,-119.4063451,759.13,,8.625,X52,ERW,1363
MFL,170,0.036,1+91,192.45,192.46,43,ML Int ,U12.21,12.21,46.12,U192.45,192.45,5000.57,0.219,11,0.23,0.38,182,184,58.33,,2265,2264,3145,21,2262,2262,3141,35.0881884,-119.4063448,759.12,,8.625,X52,ERW,1363
MFL,180,0.045,2+37,238.57,,44,Weld,U58.33,58.33,63.25,U238.57,238.57,4954.45,0.219,,,,,,63.25,35,,,,,,,,35.0881397,-119.4062037,757.65,,8.625,X52,ERW,1363
MFL,180,0.045,2+40,241.53,,45,MCP,U2.96,2.96,60.29,U241.53,241.53,4951.49,0.219,,0.98,2.32,162,,63.25,,,,,,,,,35.0881368,-119.4061946,757.51,,8.625,X52,ERW,1363
MFL,190,0.057,3+00,301.82,,46,Weld,U63.25,63.25,63.27,U301.82,301.82,4891.20,0.219,,,,,,63.27,338,,,,,,,,35.0880819,-119.4060061,754.90,,8.625,X52,ERW,1363
MFL,190,0.069,3+63,364.74,364.75,47,ML Int ,D0.35,62.92,0.35,U364.74,364.74,4828.27,0.219,25,0.31,0.37,140,140,63.27,,2257,2255,3132,35,2252,2248,3122,35.0880366,-119.4058047,752.76,,8.625,X52,ERW,1363
MFL,200,0.069,3+63,365.09,,48,Weld,U63.27,63.27,63.29,U365.09,365.09,4827.93,0.219,,,,,,63.29,154,,,,,,,,35.0880364,-119.4058036,752.76,,8.625,X52,ERW,1363
MFL,200,0.074,3+89,390.95,390.97,49,ML Ext Cluster,U25.86,25.86,37.43,U390.95,390.95,4802.06,0.219,11,0.66,2.20,329,354,63.29,,2252,2253,3129,21,2235,2237,3107,35.0880185,-119.4057206,752.49,,8.625,X52,ERW,1363
MFL,200,0.074,3+91,392.62,393.30,50,ML Ext Cluster,U27.54,27.54,35.76,U392.62,392.62,4800.39,0.219,54,20.65,11.68,317,36,63.29,,1282,1576,2188,64,1090,1335,1854,35.0880173,-119.4057152,752.47,,8.625,X52,ERW,1363
MFL,200,0.075,3+95,396.89,396.91,51,ML Ext ,D31.49,31.81,31.49,U396.89,396.89,4796.12,0.219,10,0.27,0.48,315,314,63.29,,2264,2264,3144,20,2261,2260,3139,35.0880142,-119.4057016,752.33,,8.625,X52,ERW,1363
MFL,200,0.075,3+97,398.59,398.61,52,ML Ext ,D29.80,33.50,29.80,U398.59,398.59,4794.43,0.219,11,0.31,0.48,330,332,63.29,,2263,2262,3142,21,2259,2257,3135,35.0880130,-119.4056962,752.27,,8.625,X52,ERW,1363
MFL,200,0.075,3+97,398.76,398.77,53,ML Ext ,D29.62,33.67,29.62,U398.76,398.76,4794.26,0.219,10,0.31,0.48,344,347,63.29,,2264,2263,3143,20,2260,2258,3136,35.0880129,-119.4056956,752.26,,8.625,X52,ERW,1363
MFL,200,0.076,3+99,400.59,400.62,54,ML Ext ,D27.80,35.50,27.80,U400.59,400.59,4792.43,0.219,11,0.47,0.43,320,323,63.29,,2259,2257,3135,21,2250,2246,3120,35.0880115,-119.4056898,752.20,,8.625,X52,ERW,1363
MFL,200,0.076,3+99,401.04,401.07,55,ML Ext ,D27.34,35.95,27.34,U401.04,401.04,4791.97,0.219,12,0.47,0.48,321,323,63.29,,2258,2256,3134,22,2249,2245,3118,35.0880112,-119.4056883,752.18,,8.625,X52,ERW,1363
MFL,200,0.077,4+08,409.97,409.99,56,ML Ext ,D18.41,44.88,18.41,U409.97,409.97,4783.04,0.219,11,0.31,0.43,346,350,63.29,,2263,2262,3142,21,2259,2257,3135,35.0880043,-119.4056599,751.68,,8.625,X52,ERW,1363
MFL,210,0.081,4+26,428.38,,57,Weld,D22.87,63.29,22.87,U428.38,428.38,4764.63,0.219,,,,,,22.87,84,,,,,,,,35.0879890,-119.4056019,750.06,,8.625,X52,ERW,1363
MFL,210,0.084,4+43,444.98,445.00,58,ML Ext ,D6.28,16.59,6.28,U444.98,444.98,4748.04,0.219,11,0.35,0.54,306,310,22.87,,2262,2261,3141,21,2257,2255,3132,35.0879743,-119.4055499,748.95,,8.625,X52,ERW,1363
MFL,210,0.084,4+46,448.72,448.74,59,ML Ext ,D2.54,20.33,2.54,U448.72,448.72,4744.30,0.219,12,0.66,0.55,346,350,22.87,,2250,2247,3120,22,2233,2225,3091,35.0879709,-119.4055382,748.83,,8.625,X52,ERW,1363
MFL,210,0.085,4+48,450.01,450.25,60,ML Ext Cluster,D1.25,21.63,1.25,U450.01,450.01,4743.00,0.219,12,3.68,1.88,18,37,22.87,,2130,2198,3053,22,2006,2132,2961,35.0879697,-119.4055341,748.80,,8.625,X52,ERW,1363
MFL,210,0.085,4+48,450.42,450.43,61,ML Ext ,D0.84,22.04,0.84,U450.42,450.42,4742.60,0.219,10,0.27,0.70,312,316,22.87,,2264,2264,3144,20,2261,2260,3139,35.0879694,-119.4055329,748.79,,8.625,X52,ERW,1363
MFL,210,0.085,4+48,450.45,450.56,62,ML Ext Cluster,D0.80,22.07,0.80,U450.45,450.45,4742.56,0.219,11,1.60,1.50,34,50,22.87,,2207,2232,3100,21,2144,2197,3051,35.0879693,-119.4055328,748.79,,8.625,X52,ERW,1363
MFL,210,0.085,4+48,450.72,450.73,63,ML Ext ,D0.54,22.34,0.54,U450.72,450.72,4742.30,0.219,12,0.27,0.38,38,38,22.87,,2264,2263,3143,22,2261,2259,3138,35.0879691,-119.4055319,748.78,,8.625,X52,ERW,1363
MFL,210,0.085,4+48,450.74,450.76,64,ML Ext ,D0.52,22.36,0.52,U450.74,450.74,4742.27,0.219,11,0.35,0.43,347,350,22.87,,2262,2261,3141,21,2257,2255,3132,35.0879691,-119.4055319,748.78,,8.625,X52,ERW,1363
MFL,220,0.085,4+49,451.26,,65,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.87,22.87,0.87,U451.26,451.26,4741.76,0.322,,,,,,0.87,,,,,,,,,35.0879686,-119.4055303,748.71,,8.625,X52,Elbow,1363
MFL,220,0.085,4+49,451.70,,66,Bend - 45° 1.5D Over Forged Bend,D0.42,0.45,0.42,U451.70,451.70,4741.31,0.322,,,,180,,0.87,,,,,,,,,35.0879682,-119.4055290,748.58,,8.625,X52,Elbow,1363
MFL,230,0.085,4+50,452.13,,67,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.87,0.87,8.73,U452.13,452.13,4740.89,0.219,,,,,,8.73,,,,,,,,,35.0879678,-119.4055279,748.33,,8.625,X52,ERW,1363
MFL,230,0.085,4+51,452.89,452.91,68,ML Ext ,U0.76,0.76,7.97,U452.89,452.89,4740.13,0.219,11,0.31,0.38,213,214,8.73,,2263,2262,3142,21,2259,2257,3135,35.0879672,-119.4055262,747.82,,8.625,X52,ERW,1363
MFL,230,0.085,4+51,453.69,453.72,69,ML Ext Cluster,U1.56,1.56,7.17,U453.69,453.69,4739.33,0.219,15,0.51,0.86,326,332,8.73,,2254,2253,3129,25,2243,2239,3110,35.0879665,-119.4055245,747.25,,8.625,X52,ERW,1363
MFL,230,0.086,4+52,453.95,453.96,70,ML Ext ,U1.83,1.83,6.91,U453.95,453.95,4739.06,0.219,26,0.31,0.33,192,194,8.73,,2257,2254,3131,36,2251,2247,3121,35.0879663,-119.4055239,747.06,,8.625,X52,ERW,1363
MFL,230,0.086,4+53,455.12,455.13,71,ML Ext ,U2.99,2.99,5.74,U455.12,455.12,4737.90,0.219,10,0.35,0.38,180,182,8.73,,2263,2262,3142,20,2258,2256,3133,35.0879653,-119.4055215,746.22,,8.625,X52,ERW,1363
MFL,230,0.086,4+54,455.96,455.97,72,ML Ext Cluster,U3.84,3.84,4.90,U455.96,455.96,4737.05,0.219,14,0.51,0.54,106,110,8.73,,2255,2254,3131,24,2244,2242,3114,35.0879646,-119.4055197,745.62,,8.625,X52,ERW,1363
MFL,230,0.087,4+57,459.37,459.42,73,ML Ext Cluster,D1.49,7.24,1.49,U459.37,459.37,4733.65,0.219,16,0.67,0.43,268,269,8.73,,2244,2256,3133,26,2225,2246,3119,35.0879618,-119.4055124,743.19,,8.625,X52,ERW,1363
MFL,230,0.087,4+57,459.71,459.72,74,ML Ext Cluster,D1.15,7.58,1.15,U459.71,459.71,4733.31,0.219,13,0.86,0.32,100,102,8.73,,2238,2253,3130,23,2211,2241,3113,35.0879615,-119.4055117,742.95,,8.625,X52,ERW,1363
MFL,230,0.087,4+58,460.29,460.31,75,ML Ext Cluster,D0.57,8.16,0.57,U460.29,460.29,4732.73,0.219,18,0.55,0.80,294,301,8.73,,2248,2244,3117,28,2235,2227,3093,35.0879610,-119.4055105,742.53,,8.625,X52,ERW,1363
MFL,230,0.087,4+58,460.59,460.61,76,ML Ext ,D0.27,8.47,0.27,U460.59,460.59,4732.42,0.219,10,0.31,0.27,293,294,8.73,,2264,2263,3143,20,2260,2258,3136,35.0879607,-119.4055098,742.32,,8.625,X52,ERW,1363
MFL,240,0.087,4+59,460.86,,77,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.84,8.73,0.84,U460.86,460.86,4732.16,0.322,,,,,,0.84,,,,,,,,,35.0879605,-119.4055091,742.16,,8.625,X52,Elbow,1363
MFL,240,0.087,4+59,461.31,,78,Bend - 45° 1.5D Sag Forged Bend,D0.39,0.45,0.39,U461.31,461.31,4731.71,0.322,,,,0,,0.84,,,,,,,,,35.0879601,-119.4055079,741.97,,8.625,X52,Elbow,1363
MFL,250,0.087,4+59,461.70,,79,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.84,0.84,29.97,U461.70,461.70,4731.31,0.219,,,,,,29.97,352,,,,,,,,35.0879597,-119.4055067,741.88,,8.625,X52,ERW,1363
MFL,250,0.087,4+60,462.24,462.31,80,ML Ext Cluster,U0.53,0.53,29.43,U462.24,462.24,4730.78,0.219,28,1.29,2.12,99,123,29.97,,2136,2163,3005,38,2072,2101,2918,35.0879593,-119.4055051,741.84,,8.625,X52,ERW,1363
MFL,250,0.089,4+68,470.58,470.59,81,ML Int ,U8.88,8.88,21.09,U470.58,470.58,4722.44,0.219,17,0.47,0.27,173,174,29.97,,2254,2251,3126,27,2244,2238,3109,35.0879525,-119.4054786,741.77,,8.625,X52,ERW,1363
MFL,250,0.089,4+69,471.25,471.27,82,ML Int ,U9.55,9.55,20.42,U471.25,471.25,4721.77,0.219,10,0.43,0.43,147,150,29.97,,2261,2260,3138,20,2253,2250,3126,35.0879520,-119.4054765,741.77,,8.625,X52,ERW,1363
MFL,250,0.089,4+69,471.64,471.64,83,ML Int ,U9.94,9.94,20.03,U471.64,471.64,4721.38,0.219,11,0.27,0.48,128,133,29.97,,2264,2264,3144,21,2261,2260,3138,35.0879517,-119.4054753,741.76,,8.625,X52,ERW,1363
MFL,250,0.089,4+69,471.79,471.80,84,ML Int ,U10.09,10.09,19.88,U471.79,471.79,4721.23,0.219,10,0.16,0.64,128,133,29.97,,2266,2266,3147,20,2265,2265,3145,35.0879515,-119.4054748,741.76,,8.625,X52,ERW,1363
MFL,250,0.089,4+70,472.17,472.17,85,ML Int ,U10.47,10.47,19.50,U472.17,472.17,4720.85,0.219,10,0.23,0.54,130,132,29.97,,2265,2265,3145,20,2263,2262,3141,35.0879512,-119.4054736,741.76,,8.625,X52,ERW,1363
MFL,250,0.089,4+71,473.17,473.47,86,ML Int Cluster,U11.47,11.47,18.50,U473.17,473.17,4719.84,0.219,23,4.07,2.23,136,162,29.97,,1979,2142,2975,33,1837,2051,2849,35.0879504,-119.4054704,741.75,,8.625,X52,ERW,1363
MFL,250,0.089,4+71,473.74,473.75,87,ML Int ,U12.04,12.04,17.93,U473.74,473.74,4719.27,0.219,10,0.23,0.43,138,138,29.97,,2265,2265,3145,20,2263,2262,3141,35.0879500,-119.4054686,741.75,,8.625,X52,ERW,1363
MFL,250,0.090,4+73,475.13,475.17,88,ML Int Cluster,U13.43,13.43,16.53,U475.13,475.13,4717.88,0.219,19,1.13,1.26,151,164,29.97,,2198,2216,3078,29,2152,2181,3029,35.0879488,-119.4054642,741.74,,8.625,X52,ERW,1363
MFL,250,0.090,4+74,476.56,476.57,89,ML Int ,U14.86,14.86,15.11,U476.56,476.56,4716.45,0.219,10,0.27,0.42,158,159,29.97,,2264,2264,3144,20,2261,2260,3139,35.0879477,-119.4054597,741.73,,8.625,X52,ERW,1363
MFL,250,0.090,4+74,476.81,476.82,90,ML Int Cluster,D14.86,15.11,14.86,U476.81,476.81,4716.21,0.219,15,1.02,1.22,147,148,29.97,,2222,2247,3120,25,2186,2230,3097,35.0879475,-119.4054589,741.72,,8.625,X52,ERW,1363
MFL,250,0.090,4+75,477.00,477.07,91,ML Int Cluster,D14.67,15.30,14.67,U477.00,477.00,4716.01,0.219,29,4.22,1.52,152,165,29.97,,1889,2123,2948,39,1739,2032,2822,35.0879473,-119.4054583,741.72,,8.625,X52,ERW,1363
MFL,250,0.090,4+75,477.60,477.62,92,ML Int ,D14.06,15.90,14.06,U477.60,477.60,4715.41,0.219,13,0.31,0.27,173,172,29.97,,2262,2262,3141,23,2258,2256,3134,35.0879468,-119.4054563,741.72,,8.625,X52,ERW,1363
MFL,250,0.090,4+75,477.73,477.82,93,ML Int Cluster,D13.93,16.03,13.93,U477.73,477.73,4715.28,0.219,13,1.53,2.04,144,152,29.97,,2199,2225,3090,23,2138,2184,3034,35.0879467,-119.4054559,741.72,,8.625,X52,ERW,1363
MFL,250,0.090,4+76,478.60,478.65,94,ML Int Cluster,D13.07,16.90,13.07,U478.60,478.60,4714.41,0.219,26,0.82,1.39,146,164,29.97,,2207,2220,3084,36,2175,2189,3041,35.0879460,-119.4054532,741.71,,8.625,X52,ERW,1363
MFL,250,0.090,4+76,478.81,478.84,95,ML Int Cluster,D12.86,17.11,12.86,U478.81,478.81,4714.21,0.219,22,0.47,1.17,151,153,29.97,,2249,2247,3121,32,2238,2234,3102,35.0879458,-119.4054525,741.71,,8.625,X52,ERW,1363
MFL,250,0.090,4+77,479.31,479.32,96,ML Int ,D12.36,17.61,12.36,U479.31,479.31,4713.71,0.219,13,0.20,0.27,150,152,29.97,,2265,2265,3146,23,2263,2263,3143,35.0879454,-119.4054510,741.70,,8.625,X52,ERW,1363
MFL,250,0.091,4+81,483.18,483.19,97,ML Int ,D8.49,21.48,8.49,U483.18,483.18,4709.84,0.219,13,0.23,0.27,120,120,29.97,,2264,2264,3144,23,2262,2261,3140,35.0879423,-119.4054387,741.67,,8.625,X52,ERW,1363
MFL,250,0.092,4+88,490.57,490.66,98,ML Int Cluster,D1.10,28.87,1.10,U490.57,490.57,4702.44,0.219,13,1.33,0.54,130,132,29.97,,2210,2235,3105,23,2159,2207,3065,35.0879363,-119.4054152,741.70,,8.625,X52,ERW,1363
MFL,250,0.093,4+89,491.03,491.06,99,ML Int Cluster,D0.64,29.33,0.64,U491.03,491.03,4701.98,0.219,15,1.41,0.48,130,132,29.97,,2196,2226,3092,25,2138,2189,3041,35.0879360,-119.4054138,741.71,,8.625,X52,ERW,1363
MFL,250,0.093,4+89,491.35,491.46,100,ML Int Cluster,D0.32,29.65,0.32,U491.35,491.35,4701.66,0.219,26,1.41,1.34,148,163,29.97,,2132,2211,3070,36,2064,2181,3030,35.0879357,-119.4054128,741.71,,8.625,X52,ERW,1363
MFL,260,0.093,4+89,491.67,,101,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D0.37,29.97,0.37,U491.67,491.67,4701.35,0.322,,,,,,0.37,,,,,,,,,35.0879354,-119.4054118,741.77,,8.625,X52,Elbow,1363
MFL,260,0.093,4+89,491.87,,102,Bend - 20° 1.5D Sag Forged Bend,D0.17,0.20,0.17,U491.87,491.87,4701.15,0.322,,,,0,,0.37,,,,,,,,,35.0879353,-119.4054112,741.80,,8.625,X52,Elbow,1363
MFL,270,0.093,4+90,492.03,,103,"Weld; Begin 0.219in Wall, API 5L X52- ERW",U0.37,0.37,29.74,U492.03,492.03,4700.98,0.219,,,,,,29.74,50,,,,,,,,35.0879351,-119.4054107,741.83,,8.625,X52,ERW,1363
MFL,270,0.094,4+96,498.69,498.70,104,ML Int Cluster,U6.66,6.66,23.09,U498.69,498.69,4694.32,0.219,16,0.94,1.13,154,159,29.74,,2225,2244,3117,26,2192,2227,3094,35.0879302,-119.4053909,744.09,,8.625,X52,ERW,1363
MFL,270,0.094,4+97,499.27,499.28,105,ML Int Cluster,U7.24,7.24,22.51,U499.27,499.27,4693.74,0.219,10,0.39,0.80,157,166,29.74,,2262,2261,3140,20,2256,2253,3129,35.0879297,-119.4053892,744.29,,8.625,X52,ERW,1363
MFL,270,0.094,4+97,500.04,500.06,106,ML Int ,U8.01,8.01,21.73,U500.04,500.04,4692.97,0.219,10,0.27,0.32,156,157,29.74,,2264,2264,3144,20,2261,2260,3139,35.0879291,-119.4053869,744.56,,8.625,X52,ERW,1363
