BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
AGM 1,Above Ground Marker,,-0.56,0.00,0.219,35000,ERW,6.625,715,,,,,,,,,,,,,AGM 1,1752.33,,0.00,,,,,1.38,3.16,33.6722106,-118.0192782,39.67,Launcher Door 10' 6: U/S of Launcher Valve
GWD 10,Girth Weld,,-0.56,0.65,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,0.00,AGM 1,1752.33,,1.38,,,1.38,10,3.16,4.90,33.6722106,-118.0192782,39.67,First Recorded Girth Weld
TEE 1,Tee,,0.08,0.73,0.219,35000,ERW,8.625,715,,,9.863,9.863,3:00,,,,,,Launcher Door,0.65,AGM 1,1751.68,0.65,0.73,,,1.38,10,3.16,4.90,33.6722120,-118.0192769,39.68,Start Section CSFM 825
GWD 20,Girth Weld,,0.82,1.80,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1.38,AGM 1,1750.95,1.38,3.16,,1.38,3.16,20,4.90,3.27,33.6722136,-118.0192754,39.66,
BND 1,Bend,,2.62,1.36,0.219,35000,ERW,8.625,715,,,39.077,,,,,,,,Launcher Door,3.18,AGM 1,1749.15,1.80,1.36,,1.38,3.16,20,4.90,3.27,33.6722167,-118.0192717,39.00,3.0D 90.3 deg right turn over bend
GWD 30,Girth Weld,,3.97,4.90,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,4.54,AGM 1,1747.79,3.16,4.90,1.38,3.16,4.90,30,3.27,1.63,33.6722173,-118.0192697,37.81,
GWD 40,Girth Weld,,8.87,1.80,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,9.44,AGM 1,1742.89,4.90,3.27,3.16,4.90,3.27,40,1.63,3.83,33.6722146,-118.0192666,33.05,
BND 2,Bend,,10.68,1.47,0.219,35000,ERW,8.625,715,,,38.867,,,,,,,,Launcher Door,11.24,AGM 1,1741.09,1.80,1.46,3.16,4.90,3.27,40,1.63,3.83,33.6722149,-118.0192643,31.43,3.0D 89.1 deg left turn sag bend
GWD 50,Girth Weld,,12.14,1.63,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,12.71,AGM 1,1739.62,3.27,1.63,4.90,3.27,1.63,50,3.83,39.24,33.6722173,-118.0192612,30.77,
GWD 60,Girth Weld,,13.78,1.35,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,14.34,AGM 1,1737.99,1.63,3.83,3.27,1.63,3.83,60,39.24,37.84,33.6722208,-118.0192579,30.69,
TAP 1,TAP,,15.13,2.48,0.280,35000,ERW,8.625,715,,,,,11:44,,,,,,Launcher Door,15.70,AGM 1,1736.63,1.35,2.48,3.27,1.63,3.83,60,39.24,37.84,33.6722236,-118.0192551,30.65,
GWD 70,Girth Weld,,17.61,26.52,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,18.17,AGM 1,1734.16,3.83,39.24,1.63,3.83,39.24,70,37.84,1.14,33.6722288,-118.0192500,30.57,
BND 3,Bend,,44.12,12.72,0.280,35000,ERW,8.625,715,,,46.996,,,,,,,,Launcher Door,44.69,AGM 1,1707.64,26.52,12.72,1.63,3.83,39.24,70,37.84,1.14,33.6722845,-118.0191953,29.10,48.5D 5.7 deg sag bend
GWD 80,Girth Weld,,56.85,37.84,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,57.41,AGM 1,1694.92,39.24,37.84,3.83,39.24,37.84,80,1.14,1.57,33.6723111,-118.0191690,29.28,
GWD 90,Girth Weld,,94.68,1.14,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,95.25,AGM 1,1657.08,37.84,1.14,39.24,37.84,1.14,90,1.57,1.83,33.6723909,-118.0190912,29.15,
GWD 100,Girth Weld,,95.82,0.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,96.39,AGM 1,1655.94,1.14,1.57,37.84,1.14,1.57,100,1.83,3.27,33.6723933,-118.0190889,29.09,
BND 4,Bend,,96.71,0.68,0.280,35000,ERW,8.625,715,,,24.774,,,,,,,,Launcher Door,97.27,AGM 1,1655.06,0.89,0.69,37.84,1.14,1.57,100,1.83,3.27,33.6723951,-118.0190871,29.22,3.0D 45.4 deg left turn sag bend
GWD 110,Girth Weld,,97.39,1.83,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,97.96,AGM 1,1654.37,1.57,1.83,1.14,1.57,1.83,110,3.27,0.94,33.6723964,-118.0190859,29.54,
GWD 120,Girth Weld,,99.22,1.51,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,99.79,AGM 1,1652.54,1.83,3.27,1.57,1.83,3.27,120,0.94,36.57,33.6723994,-118.0190833,30.74,
BND 5,Bend,,100.73,1.76,0.280,35000,ERW,8.625,715,,,36.202,,,,,,,,Launcher Door,101.29,AGM 1,1651.03,1.51,1.76,1.57,1.83,3.27,120,0.94,36.57,33.6724005,-118.0190799,31.69,3.0D 89.7 deg right turn over bend
GWD 130,Girth Weld,,102.49,0.94,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,103.06,AGM 1,1649.27,3.27,0.94,1.83,3.27,0.94,130,36.57,40.93,33.6723986,-118.0190750,32.14,
GWD 140,Girth Weld,,103.44,36.57,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,104.00,AGM 1,1648.33,0.94,36.57,3.27,0.94,36.57,140,40.93,40.57,33.6723969,-118.0190727,32.18,
GWD 150,Girth Weld,,140.01,40.93,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,140.57,AGM 1,1611.76,36.57,40.93,0.94,36.57,40.93,150,40.57,40.98,33.6723302,-118.0189845,32.45,
GWD 160,Girth Weld,,180.94,40.57,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,181.50,AGM 1,1570.83,40.93,40.57,36.57,40.93,40.57,160,40.98,41.01,33.6722570,-118.0188843,32.13,
GWD 170,Girth Weld,,221.51,40.98,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,222.07,AGM 1,1530.26,40.57,40.98,40.93,40.57,40.98,170,41.01,40.88,33.6721858,-118.0187835,32.29,
GWD 180,Girth Weld,,262.49,41.01,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,263.05,AGM 1,1489.28,40.98,41.01,40.57,40.98,41.01,180,40.88,40.90,33.6721143,-118.0186812,32.40,
GWD 190,Girth Weld,,303.50,40.88,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,304.06,AGM 1,1448.27,41.01,40.88,40.98,41.01,40.88,190,40.90,40.91,33.6720433,-118.0185784,32.50,
GWD 200,Girth Weld,,344.38,40.90,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,344.95,AGM 1,1407.38,40.88,40.90,41.01,40.88,40.90,200,40.91,40.92,33.6719735,-118.0184748,32.79,
GWD 210,Girth Weld,,385.29,0.43,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,385.85,AGM 1,1366.48,40.90,40.91,40.88,40.90,40.91,210,40.92,36.26,33.6719112,-118.0183648,32.73,
DMA 1,Metal Loss,Ext,385.71,10.50,0.280,35000,ERW,8.625,715,42,0.117,0.860,0.602,5:32,2792,0.356,42,0.86,2755,Launcher Door,386.28,AGM 1,1366.05,0.43,40.48,40.88,40.90,40.91,210,40.92,36.26,33.6719106,-118.0183636,32.72,
DMA 2,Metal Loss,Ext,396.22,29.98,0.280,35000,ERW,8.625,715,21,0.058,0.633,0.581,6:08,2892,0.343,21,0.63,2886,Launcher Door,396.78,AGM 1,1355.55,10.93,29.98,40.88,40.90,40.91,210,40.92,36.26,33.6718957,-118.0183344,32.58,
GWD 220,Girth Weld,,426.19,40.92,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,426.76,AGM 1,1325.57,40.91,40.92,40.90,40.91,40.92,220,36.26,3.03,33.6718553,-118.0182497,32.08,
GWD 230,Girth Weld,,467.11,36.26,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,467.68,AGM 1,1284.65,40.92,36.26,40.91,40.92,36.26,230,3.03,40.97,33.6717970,-118.0181366,31.39,
GWD 240,Girth Weld,,503.38,1.51,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,503.94,AGM 1,1248.39,36.26,3.03,40.92,36.26,3.03,240,40.97,40.97,33.6717365,-118.0180435,30.56,
BND 6,Bend,,504.88,1.52,0.280,35000,ERW,8.625,715,,,35.717,,,,,,,,Launcher Door,505.45,AGM 1,1246.88,1.51,1.52,40.92,36.26,3.03,240,40.97,40.97,33.6717353,-118.0180389,30.45,3.0D 83.1 deg left turn over bend
GWD 250,Girth Weld,,506.40,40.97,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,506.97,AGM 1,1245.36,3.03,40.97,36.26,3.03,40.97,250,40.97,41.09,33.6717369,-118.0180345,30.30,
GWD 260,Girth Weld,,547.38,7.58,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,547.94,AGM 1,1204.39,40.97,40.97,3.03,40.97,40.97,260,41.09,40.60,33.6718189,-118.0179443,29.33,
BND 7,Bend,,554.96,24.85,0.280,35000,ERW,8.625,715,,,86.749,,,,,,,,Launcher Door,555.52,AGM 1,1196.81,7.58,33.39,3.03,40.97,40.97,260,41.09,40.60,33.6718339,-118.0179275,29.59,50.2D 8.0 deg sag bend
BND 8,Bend,,579.81,8.54,0.280,35000,ERW,8.625,715,,,131.338,,,,,,,,Launcher Door,580.37,AGM 1,1171.96,32.43,8.54,3.03,40.97,40.97,260,41.09,40.60,33.6718817,-118.0178727,34.25,69.3D 10.6 deg over bend
GWD 270,Girth Weld,,588.35,41.09,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,588.91,AGM 1,1163.42,40.97,41.09,40.97,40.97,41.09,270,40.60,40.97,33.6718982,-118.0178533,34.77,
GWD 280,Girth Weld,,629.44,40.60,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,630.00,AGM 1,1122.33,41.09,40.60,40.97,41.09,40.60,280,40.97,40.95,33.6719743,-118.0177555,35.79,
GWD 290,Girth Weld,,670.04,40.97,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,670.60,AGM 1,1081.72,40.60,40.97,41.09,40.60,40.97,290,40.95,40.89,33.6720451,-118.0176542,36.31,
GWD 300,Girth Weld,,711.01,40.95,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,711.57,AGM 1,1040.76,40.97,40.95,40.60,40.97,40.95,300,40.89,40.60,33.6721119,-118.0175477,37.04,
GWD 310,Girth Weld,,751.96,40.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,752.52,AGM 1,999.80,40.95,40.89,40.97,40.95,40.89,310,40.60,40.99,33.6721712,-118.0174352,37.99,
GWD 320,Girth Weld,,792.85,40.60,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,793.42,AGM 1,958.91,40.89,40.60,40.95,40.89,40.60,320,40.99,41.04,33.6722232,-118.0173176,38.46,
GWD 330,Girth Weld,,833.46,40.99,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,834.02,AGM 1,918.31,40.60,40.99,40.89,40.60,40.99,330,41.04,9.53,33.6722720,-118.0171992,39.07,
GWD 340,Girth Weld,,874.44,41.05,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,875.01,AGM 1,877.32,40.99,41.04,40.60,40.99,41.04,340,9.53,2.69,33.6723187,-118.0170782,39.24,
GWD 350,Girth Weld,,915.49,9.52,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,916.05,AGM 1,836.28,41.04,9.53,40.99,41.04,9.53,350,2.69,40.95,33.6723648,-118.0169566,38.74,
GWD 360,Girth Weld,,925.01,1.69,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,925.58,AGM 1,826.75,9.53,2.69,41.04,9.53,2.69,360,40.95,40.60,33.6723751,-118.0169282,38.64,
BND 9,Bend,,926.70,1.00,0.280,35000,ERW,8.625,715,,,33.440,,,,,,,,Launcher Door,927.27,AGM 1,825.06,1.69,1.00,41.04,9.53,2.69,360,40.95,40.60,33.6723780,-118.0169240,38.64,3.0D 74.2 deg left turn sag bend
GWD 370,Girth Weld,,927.71,40.95,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,928.27,AGM 1,824.06,2.69,40.95,9.53,2.69,40.95,370,40.60,27.18,33.6723806,-118.0169232,38.66,
GWD 380,Girth Weld,,968.65,40.60,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,969.22,AGM 1,783.11,40.95,40.60,2.69,40.95,40.60,380,27.18,40.89,33.6724903,-118.0169452,39.63,
GWD 390,Girth Weld,,1009.26,27.18,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1009.82,AGM 1,742.51,40.60,27.18,40.95,40.60,27.18,390,40.89,21.86,33.6725994,-118.0169657,39.22,
GWD 400,Girth Weld,,1036.43,40.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1037.00,AGM 1,715.33,27.18,40.89,40.60,27.18,40.89,400,21.86,1.62,33.6726724,-118.0169792,39.18,
GWD 410,Girth Weld,,1077.32,21.86,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1077.89,AGM 1,674.44,40.89,21.86,27.18,40.89,21.86,410,1.62,27.42,33.6727822,-118.0170003,38.74,
GWD 420,Girth Weld,,1099.18,0.99,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1099.74,AGM 1,652.59,21.86,1.62,40.89,21.86,1.62,420,27.42,1.59,33.6728409,-118.0170118,38.38,
BND 10,Bend,,1100.17,0.63,0.280,35000,ERW,8.625,715,,,25.720,,,,,,,,Launcher Door,1100.73,AGM 1,651.60,0.99,0.63,40.89,21.86,1.62,420,27.42,1.59,33.6728436,-118.0170117,38.33,3.0D 47.1 deg right turn over bend
GWD 430,Girth Weld,,1100.80,27.42,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1101.36,AGM 1,650.97,1.62,27.42,21.86,1.62,27.42,430,1.59,40.58,33.6728452,-118.0170110,38.27,
GWD 440,Girth Weld,,1128.21,0.82,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1128.78,AGM 1,623.55,27.42,1.59,1.62,27.42,1.59,440,40.58,23.56,33.6729044,-118.0169579,34.90,
BND 11,Bend,,1129.03,0.77,0.280,35000,ERW,8.625,715,,,25.811,,,,,,,,Launcher Door,1129.59,AGM 1,622.74,0.82,0.77,1.62,27.42,1.59,440,40.58,23.56,33.6729064,-118.0169568,34.88,3.0D 46.6 deg left turn sag bend
GWD 450,Girth Weld,,1129.80,40.57,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1130.37,AGM 1,621.96,1.59,40.58,27.42,1.59,40.58,450,23.56,0.63,33.6729085,-118.0169565,34.92,
GWD 460,Girth Weld,,1170.38,12.91,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1170.94,AGM 1,581.39,40.58,23.56,1.59,40.58,23.56,460,0.63,40.70,33.6730167,-118.0169764,39.64,
BND 12,Bend,,1183.29,10.65,0.280,35000,ERW,8.625,715,,,107.610,,,,,,,,Launcher Door,1183.85,AGM 1,568.48,12.91,10.65,1.59,40.58,23.56,460,0.63,40.70,33.6730512,-118.0169826,40.82,77.0D 8.2 deg over bend
GWD 470,Girth Weld,,1193.94,0.35,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1194.51,AGM 1,557.82,23.56,0.63,40.58,23.56,0.63,470,40.70,40.94,33.6730798,-118.0169879,40.52,
BND 13,Bend,,1194.29,0.28,0.280,35000,ERW,8.625,715,,,23.743,,,,,,,,Launcher Door,1194.85,AGM 1,557.48,0.35,0.28,40.58,23.56,0.63,470,40.70,40.94,33.6730808,-118.0169879,40.51,8.0D 19.4 deg right turn sag bend
GWD 480,Girth Weld,,1194.57,40.70,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1195.13,AGM 1,557.20,0.63,40.70,23.56,0.63,40.70,480,40.94,40.91,33.6730815,-118.0169879,40.50,
GWD 490,Girth Weld,,1235.27,40.94,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1235.84,AGM 1,516.49,40.70,40.94,0.63,40.70,40.94,490,40.91,40.98,33.6731904,-118.0169641,40.45,
GWD 500,Girth Weld,,1276.21,40.91,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1276.78,AGM 1,475.55,40.94,40.91,40.70,40.94,40.91,500,40.98,28.36,33.6732999,-118.0169398,40.95,
GWD 510,Girth Weld,,1317.12,40.98,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1317.68,AGM 1,434.65,40.91,40.98,40.94,40.91,40.98,510,28.36,39.46,33.6734092,-118.0169153,39.93,
GWD 520,Girth Weld,,1358.10,28.36,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1358.67,AGM 1,393.66,40.98,28.36,40.91,40.98,28.36,520,39.46,26.73,33.6735190,-118.0168924,39.21,
GWD 530,Girth Weld,,1386.46,10.17,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1387.03,AGM 1,365.30,28.36,39.46,40.98,28.36,39.46,530,26.73,42.69,33.6735949,-118.0168766,38.40,
BND 14,Bend,,1396.63,29.29,0.280,35000,ERW,8.625,715,,,98.091,,,,,,,,Launcher Door,1397.19,AGM 1,355.14,10.17,29.29,40.98,28.36,39.46,530,26.73,42.69,33.6736221,-118.0168707,37.97,70.4D 8.0 deg sag bend
GWD 540,Girth Weld,,1425.92,4.73,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1426.49,AGM 1,325.84,39.46,26.73,28.36,39.46,26.73,540,42.69,39.31,33.6737001,-118.0168527,39.52,
BND 15,Bend,,1430.65,14.46,0.280,35000,ERW,8.625,715,,,34.697,,,,,,,,Launcher Door,1431.21,AGM 1,321.12,4.73,22.00,28.36,39.46,26.73,540,42.69,39.31,33.6737127,-118.0168497,39.62,37.8D 5.7 deg left turn sag bend
BND 16,Bend,,1445.11,7.54,0.280,35000,ERW,8.625,715,,,31.837,,,,,,,,Launcher Door,1445.67,AGM 1,306.66,19.18,7.54,28.36,39.46,26.73,540,42.69,39.31,33.6737512,-118.0168419,41.17,35.6D 5.6 deg right turn over bend
GWD 550,Girth Weld,,1452.65,42.69,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1453.21,AGM 1,299.12,26.73,42.69,39.46,26.73,42.69,550,39.31,40.54,33.6737714,-118.0168371,41.25,
GWD 560,Girth Weld,,1495.34,39.31,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1495.91,AGM 1,256.42,42.69,39.31,26.73,42.69,39.31,560,40.54,42.56,33.6738858,-118.0168143,41.39,
GWD 570,Girth Weld,,1534.66,14.97,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1535.22,AGM 1,217.11,39.31,40.54,42.69,39.31,40.54,570,42.56,1.85,33.6739923,-118.0168029,40.97,
BND 17,Bend,,1549.62,15.79,0.280,35000,ERW,8.625,715,,,33.611,,,,,,,,Launcher Door,1550.19,AGM 1,202.14,14.97,25.58,42.69,39.31,40.54,570,42.56,1.85,33.6740330,-118.0168007,40.78,41.2D 5.2 deg left turn over bend
BND 18,Bend,,1565.41,9.79,0.280,35000,ERW,8.625,715,,,38.035,,,,,,,,Launcher Door,1565.97,AGM 1,186.36,30.75,9.79,42.69,39.31,40.54,570,42.56,1.85,33.6740757,-118.0167993,39.33,25.6D 9.0 deg right turn sag bend
GWD 580,Girth Weld,,1575.20,4.37,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1575.76,AGM 1,176.57,40.54,42.56,39.31,40.54,42.56,580,1.85,1.27,33.6741022,-118.0167972,39.87,
BND 19,Bend,,1579.57,24.29,0.280,35000,ERW,8.625,715,,,30.856,,,,,,,,Launcher Door,1580.14,AGM 1,172.19,4.37,38.19,39.31,40.54,42.56,580,1.85,1.27,33.6741141,-118.0167962,40.13,32.3D 6.1 deg left turn over bend
BND 20,Bend,,1603.86,13.90,0.280,35000,ERW,8.625,715,,,33.240,,,,,,,,Launcher Door,1604.43,AGM 1,147.90,28.67,13.90,39.31,40.54,42.56,580,1.85,1.27,33.6741801,-118.0167930,39.32,37.2D 5.8 deg right turn sag bend
GWD 590,Girth Weld,,1617.76,0.98,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1618.33,AGM 1,134.00,42.56,1.85,40.54,42.56,1.85,590,1.27,33.50,33.6742176,-118.0167897,40.23,
BND 21,Bend,,1618.74,0.87,0.280,35000,ERW,8.625,715,,,26.626,,,,,,,,Launcher Door,1619.30,AGM 1,133.03,0.98,0.87,40.54,42.56,1.85,590,1.27,33.50,33.6742202,-118.0167889,40.28,3.0D 54.9 deg right turn over bend
GWD 600,Girth Weld,,1619.61,1.27,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1620.17,AGM 1,132.16,1.85,1.27,42.56,1.85,1.27,600,33.50,45.87,33.6742219,-118.0167870,40.28,
GWD 610,Girth Weld,,1620.88,1.06,0.250,35000,SMLS,8.625,715,,,,,,,,,,,Launcher Door,1621.44,AGM 1,130.89,1.27,33.50,1.85,1.27,33.50,610,45.87,13.07,33.6742239,-118.0167836,40.25,Estimated WT 0.250
TAP 2,TAP,,1621.94,32.43,0.250,35000,SMLS,8.625,715,,,,,11:50,,,,,,Launcher Door,1622.51,AGM 1,129.82,1.06,32.43,1.85,1.27,33.50,610,45.87,13.07,33.6742254,-118.0167806,40.24,
GWD 620,Girth Weld,,1654.37,45.87,0.250,35000,SMLS,8.625,715,,,,,,,,,,,Launcher Door,1654.94,AGM 1,97.39,33.50,45.87,1.27,33.50,45.87,620,13.07,1.01,33.6742732,-118.0166920,39.70,
GWD 630,Girth Weld,,1700.24,13.07,0.250,35000,SMLS,8.625,715,,,,,,,,,,,Launcher Door,1700.81,AGM 1,51.52,45.87,13.07,33.50,45.87,13.07,630,1.01,1.94,33.6743410,-118.0165667,38.51,
GWD 640,Girth Weld,,1713.31,1.01,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1713.88,AGM 1,38.45,13.07,1.01,45.87,13.07,1.01,640,1.94,26.95,33.6743602,-118.0165310,37.97,
GWD 650,Girth Weld,,1714.32,0.94,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1714.88,AGM 1,37.45,1.01,1.94,13.07,1.01,1.94,650,26.95,40.99,33.6743617,-118.0165283,37.91,
BND 22,Bend,,1715.27,1.00,0.219,35000,ERW,8.625,715,,,26.955,,,,,,,,Launcher Door,1715.83,AGM 1,36.50,0.95,1.00,13.07,1.01,1.94,650,26.95,40.99,33.6743635,-118.0165262,37.84,3.0D 56.6 deg left turn over bend
GWD 660,Girth Weld,,1716.26,18.33,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1716.83,AGM 1,35.50,1.94,26.95,1.01,1.94,26.95,660,40.99,40.96,33.6743661,-118.0165253,37.73,
DMA 3,Metal Loss,Ext,1734.59,8.63,0.219,35000,ERW,8.625,715,13,0.028,0.626,0.754,2:38,2269,0.438,13,0.63,2266,Launcher Door,1735.15,AGM 1,17.18,18.33,8.63,1.01,1.94,26.95,660,40.99,40.96,33.6744157,-118.0165254,35.71,
GWD 670,Girth Weld,,1743.22,8.55,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1743.78,AGM 1,8.55,26.95,40.99,1.94,26.95,40.99,670,40.96,3.21,33.6744391,-118.0165255,34.95,
MRK 1,Marker,,1751.77,32.44,0.219,35000,ERW,8.625,715,,,,,11:37,,,,,,Launcher Door,1752.33,AGM 2,3196.52,8.55,32.44,1.94,26.95,40.99,670,40.96,3.21,33.6744623,-118.0165257,34.34,AGM 1 64' D/S of Morning Tide Drive - 2' U/S of Metal Fence
GWD 680,Girth Weld,,1784.21,40.96,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,32.44,AGM 2,3164.08,40.99,40.96,26.95,40.99,40.96,680,3.21,6.74,33.6745510,-118.0165260,32.93,
GWD 690,Girth Weld,,1825.17,1.61,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,73.40,AGM 2,3123.12,40.96,3.21,40.99,40.96,3.21,690,6.74,40.50,33.6746630,-118.0165252,31.06,
BND 23,Bend,,1826.77,1.60,0.219,35000,ERW,8.625,715,,,37.195,,,,,,,,AGM 1,75.01,AGM 2,3121.51,1.61,1.60,40.99,40.96,3.21,690,6.74,40.50,33.6746669,-118.0165233,31.01,3.0D 90.2 deg right turn sag bend
GWD 700,Girth Weld,,1828.38,6.74,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,76.61,AGM 2,3119.91,3.21,6.74,40.96,3.21,6.74,700,40.50,40.91,33.6746685,-118.0165186,31.00,
GWD 710,Girth Weld,,1835.12,40.50,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,83.35,AGM 2,3113.17,6.74,40.50,3.21,6.74,40.50,710,40.91,41.02,33.6746678,-118.0164966,31.04,
GWD 720,Girth Weld,,1875.62,40.91,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,123.85,AGM 2,3072.67,40.50,40.91,6.74,40.50,40.91,720,41.02,21.64,33.6746602,-118.0163644,31.39,
GWD 730,Girth Weld,,1916.53,41.02,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,164.76,AGM 2,3031.76,40.91,41.02,40.50,40.91,41.02,730,21.64,1.30,33.6746505,-118.0162311,32.49,
GWD 740,Girth Weld,,1957.54,21.64,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,205.78,AGM 2,2990.74,41.02,21.64,40.91,41.02,21.64,740,1.30,1.05,33.6746405,-118.0160974,32.92,
GWD 750,Girth Weld,,1979.18,0.66,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,227.42,AGM 2,2969.10,21.64,1.30,41.02,21.64,1.30,750,1.05,11.38,33.6746358,-118.0160269,33.53,
BND 24,Bend,,1979.85,0.63,0.219,35000,ERW,8.625,715,,,24.210,,,,,,,,AGM 1,228.09,AGM 2,2968.44,0.67,0.63,41.02,21.64,1.30,750,1.05,11.38,33.6746360,-118.0160247,33.56,5.0D 38.5 deg left turn over bend
GWD 760,Girth Weld,,1980.48,1.05,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 1,228.72,AGM 2,2967.81,1.30,1.05,21.64,1.30,1.05,760,11.38,45.88,33.6746366,-118.0160228,33.57,
GWD 770,Girth Weld,,1981.53,11.39,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,229.76,AGM 2,2966.76,1.05,11.38,1.30,1.05,11.38,770,45.88,45.07,33.6746381,-118.0160199,33.58,
GWD 780,Girth Weld,,1992.91,45.88,0.280,35000,SMLS,8.625,715,,,,,,,,,,,AGM 1,241.15,AGM 2,2955.38,11.38,45.88,1.05,11.38,45.88,780,45.07,20.04,33.6746555,-118.0159889,33.52,
